gen,nevals,avg,std,min,max,bestFit
97,443,152892242.0,13529130.29782166,58821000.0,157864000.0,640000.0
98,444,151505160.0,15773679.883603573,58821000.0,157864000.0,640000.0
99,456,151520166.0,16258042.341882493,58821000.0,157864000.0,640000.0
100,458,150890170.0,17269265.499641266,59199000.0,157864000.0,640000.0
0,500,20320728.0,13272863.858188858,858000.0,70056000.0,640000.0
1,463,27562170.0,15586770.29859297,798000.0,94976000.0,640000.0
2,446,34000036.0,17373448.38720005,1783000.0,98686000.0,640000.0
3,455,38785534.0,18851486.101547647,2764000.0,112455000.0,640000.0
4,469,44499716.0,19494473.298844058,1833000.0,110838000.0,640000.0
5,442,48172580.0,20816564.649807133,2286000.0,122010000.0,640000.0
6,459,54911506.0,21358020.977655306,5043000.0,122010000.0,640000.0
7,449,59591786.0,23293758.01239903,5228000.0,126560000.0,640000.0
8,458,65419988.0,24974244.875067916,11116000.0,137690000.0,640000.0
9,456,69517260.0,24806319.37108768,6318000.0,135555000.0,640000.0
10,449,73685844.0,25642308.02739223,6216000.0,136318000.0,640000.0
11,443,78629498.0,24453618.900154553,4940000.0,136318000.0,640000.0
